
[2020-01-11 14:20:43:883] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: Webserver
[2020-01-11 14:20:44:697] [ServicesMonitor.trace [as startMonitor] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:87:17)] [trace]:  startMonitor
[2020-01-11 14:20:44:745] [Function.info (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-api/src/index.ts:48:28)] [info]:  Cockpit UI available at http://localhost:55555
[2020-01-11 14:20:44:745] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: api
[2020-01-11 14:20:44:753] [BlockchainProcessLauncher.info [as startBlockchainNode] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-geth/src/blockchainProcessLauncher.js:26:17)] [info]:  [36mStarting Blockchain node in another process[39m
[2020-01-11 14:20:44:769] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: Ethereum
[2020-01-11 14:20:45:467] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:20:45:468] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:20:45:469] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35mEmbark Blockchain using [4mGo-Ethereum (https://github.com/ethereum/go-ethereum)[24m[39m
[2020-01-11 14:20:45:470] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:20:45:471] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:20:45:472] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [32mrunning: [4mgeth version[24m[39m
[2020-01-11 14:20:45:598] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [warning]:  WARNING! Ethereum client version unsupported, for best results please use a version in range >=1.9.7
[2020-01-11 14:20:45:711] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [error]:  Command failed: geth --networkid=1337 --datadir=.embark/development/datadir --gcmode=archive --ipcpath=/tmp/embark-0f685213/geth.ipc account list 
[2020-01-11 14:20:45:712] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [error]:  INFO [01-11|14:20:45.682] Maximum peer count                       ETH=50 LES=0 total=50
[2020-01-11 14:20:45:713] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [error]:  Fatal: Failed to create the protocol stack: mkdir /home/st/Desktop/dfd/test/embark_demo/.embark/development/datadir/keystore: permission denied
[2020-01-11 14:20:45:714] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [error]:  
[2020-01-11 14:20:45:716] [BlockchainProcessLauncher.error [as processEnded] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-geth/src/blockchainProcessLauncher.js:22:17)] [error]:  Blockchain process ended before the end of this process. Try running blockchain in a separate process using `$ embark blockchain`. Code: 1
[2020-01-11 14:21:01:290] [IPC.info [as serve] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/ipc.js:63:17)] [info]:  pid 30729 listening on /tmp/embark-0f685213/embark.ipc
[2020-01-11 14:21:01:292] [info (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/src/cmd/cmd_controller.js:144:27)] [info]:  [32m[1m========================[22m[39m
[2020-01-11 14:21:01:293] [info (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/src/cmd/cmd_controller.js:145:27)] [info]:  [1m[33mWelcome to Embark 5.0.0[39m[22m
[2020-01-11 14:21:01:294] [info (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/src/cmd/cmd_controller.js:146:27)] [info]:  [32m[1m========================[22m[39m
[2020-01-11 14:21:01:297] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: Embark
[2020-01-11 14:21:03:385] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: Webserver
[2020-01-11 14:21:04:209] [ServicesMonitor.trace [as startMonitor] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:87:17)] [trace]:  startMonitor
[2020-01-11 14:21:04:256] [Function.info (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-api/src/index.ts:48:28)] [info]:  Cockpit UI available at http://localhost:55555
[2020-01-11 14:21:04:257] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: api
[2020-01-11 14:21:04:264] [BlockchainProcessLauncher.info [as startBlockchainNode] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-geth/src/blockchainProcessLauncher.js:26:17)] [info]:  [36mStarting Blockchain node in another process[39m
[2020-01-11 14:21:04:282] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: Ethereum
[2020-01-11 14:21:04:957] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:21:04:963] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:21:04:964] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35mEmbark Blockchain using [4mGo-Ethereum (https://github.com/ethereum/go-ethereum)[24m[39m
[2020-01-11 14:21:04:964] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:21:04:965] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:21:04:966] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [32mrunning: [4mgeth version[24m[39m
[2020-01-11 14:21:05:066] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [warning]:  WARNING! Ethereum client version unsupported, for best results please use a version in range >=1.9.7
[2020-01-11 14:21:05:187] [debug (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:96:19)] [debug]:  Creating Geth dev account. Please wait...
[2020-01-11 14:21:15:188] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [error]:  Geth dev command never returned a developer account
[2020-01-11 14:21:15:193] [BlockchainProcessLauncher.error [as processEnded] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-geth/src/blockchainProcessLauncher.js:22:17)] [error]:  Blockchain process ended before the end of this process. Try running blockchain in a separate process using `$ embark blockchain`. Code: 1
[2020-01-11 14:24:08:218] [IPC.info [as serve] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/ipc.js:63:17)] [info]:  pid 31027 listening on /tmp/embark-0f685213/embark.ipc
[2020-01-11 14:24:08:220] [info (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/src/cmd/cmd_controller.js:144:27)] [info]:  [32m[1m========================[22m[39m
